,loss,mae,mse
0,0.0132137481123209,0.09095373004674911,0.013213749043643475
1,0.005878873635083437,0.06045563519001007,0.005878874566406012
2,0.004837804473936558,0.05413183569908142,0.004837804473936558
3,0.004149211570620537,0.04945194348692894,0.0041492111049592495
4,0.0036652833223342896,0.045794449746608734,0.0036652833223342896
5,0.0034585141111165285,0.04413729906082153,0.0034585141111165285
6,0.0032205195166170597,0.04210512340068817,0.003220519283786416
7,0.0030878260731697083,0.04097390174865723,0.003087826306000352
8,0.0030108720529824495,0.04038330167531967,0.003010871820151806
9,0.0029498401563614607,0.03967403993010521,0.002949839923530817
