,loss,mae,mse
0,0.005796472541987896,0.043161265552043915,0.005796473473310471
1,0.0012194740120321512,0.021305091679096222,0.0012194740120321512
2,0.0010179562959820032,0.0194131750613451,0.0010179562959820032
3,0.0009218129562214017,0.018214762210845947,0.0009218129562214017
4,0.0007769828662276268,0.015767645090818405,0.0007769828662276268
5,0.000768064521253109,0.015841420739889145,0.000768064521253109
6,0.0007043809164315462,0.015320931561291218,0.0007043809164315462
7,0.0006524822674691677,0.014361287467181683,0.0006524822674691677
8,0.0005681905895471573,0.013358956202864647,0.0005681905895471573
9,0.0006107071531005204,0.014184103347361088,0.0006107071531005204
