,loss,mae,mse
0,0.08876609802246094,0.2182331383228302,0.08876609802246094
1,0.023937281221151352,0.11701112985610962,0.023937281221151352
2,0.01551898941397667,0.08862711489200592,0.01551898941397667
3,0.012208770029246807,0.0775894820690155,0.012208770029246807
4,0.008500785566866398,0.0647498294711113,0.008500785566866398
5,0.0063351779244840145,0.05283897742629051,0.0063351779244840145
6,0.005462889093905687,0.04675822705030441,0.005462889093905687
7,0.004820560105144978,0.04309958592057228,0.004820560105144978
8,0.004424023441970348,0.03958696499466896,0.004424023441970348
9,0.003952736500650644,0.03624959662556648,0.003952736500650644
