,loss,mae,mse
0,0.03459661826491356,0.1451845020055771,0.03459661826491356
1,0.005109651945531368,0.058153025805950165,0.005109651945531368
2,0.004882614593952894,0.05696379765868187,0.004882614593952894
3,0.004702855367213488,0.05659890174865723,0.004702855367213488
4,0.004465867765247822,0.05470462515950203,0.004465867765247822
5,0.00409809872508049,0.05247393622994423,0.00409809872508049
6,0.0036643517669290304,0.04986337572336197,0.0036643517669290304
7,0.0029486187268048525,0.04525906220078468,0.0029486187268048525
8,0.0019530730787664652,0.03570045903325081,0.0019530730787664652
9,0.001527477870695293,0.03055492602288723,0.001527477870695293
