,loss,mae,mse
0,0.03192703053355217,0.12762771546840668,0.03192703053355217
1,0.005621488206088543,0.046087589114904404,0.005621488206088543
2,0.0015095098642632365,0.0255080945789814,0.0015095098642632365
3,0.001359756221063435,0.023768732324242592,0.001359756221063435
4,0.0012290588347241282,0.021822532638907433,0.0012290588347241282
5,0.0011080487165600061,0.02057422697544098,0.001108048832975328
6,0.000981210614554584,0.01902901567518711,0.000981210614554584
7,0.0008652355172671378,0.01708240807056427,0.0008652355172671378
8,0.0008316539460793138,0.01728546991944313,0.0008316539460793138
9,0.0007664791774004698,0.016606098040938377,0.0007664791774004698
