,loss,mae,mse
0,0.0069336919113993645,0.05838382989168167,0.006933691445738077
1,0.0011486526345834136,0.021333614364266396,0.0011486526345834136
2,0.0008649349329061806,0.017111510038375854,0.0008649349329061806
3,0.0008040522807277739,0.01632828451693058,0.0008040522807277739
4,0.0007077704067341983,0.01466505415737629,0.0007077704067341983
5,0.0006407474284060299,0.013474213890731335,0.0006407474284060299
6,0.0006639671046286821,0.014743929728865623,0.0006639671046286821
7,0.0006018663407303393,0.013499525375664234,0.0006018663407303393
8,0.0005810318980365992,0.013011842034757137,0.0005810318980365992
9,0.0005551763460971415,0.012677323073148727,0.0005551763460971415
