,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-09 17:55:20,0.1255060728744939,0.025316455696202552,0.6071740695044212,0.0,0.8397654592032354,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:55:25,0.1255060728744939,0.025316455696202552,0.6071740695044212,0.0,0.8397250717204698,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:55:30,0.1255060728744939,0.025316455696202552,0.6042347464076279,0.0,0.8394009340313489,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:55:35,0.1255060728744939,0.02573039976578599,0.6011182450898516,0.0,0.8392029704268117,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:55:40,0.1255060728744939,0.026426654760378636,0.6109326374711089,0.0,0.8359675203404522,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:55:45,0.125615328676414,0.027264585890079258,0.6238117130874162,0.0,0.8336807090693726,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:55:50,0.1260059364684305,0.02818397009048069,0.6379955474642334,0.0,0.8317876322090545,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:55:55,0.12663621447423284,0.02771646919485734,0.6370494892684913,0.0,0.8303013924934968,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:00,0.12726649248003521,0.02620864285535718,0.6205660103197759,0.0,0.8287390429118704,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:05,0.12789677048583756,0.025122943677188456,0.605528376453338,0.0,0.8274530507600169,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:10,0.1285270484916399,0.024436852097228717,0.6010713729905823,0.0,0.8263140385919286,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:15,0.12915732649744224,0.024051546636401015,0.5946891565344454,0.0,0.8252814623594443,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:20,0.12978760450324459,0.023778967539417478,0.5844012452541325,0.0,0.8224206918498155,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:25,0.13030325762419281,0.023693941368724335,0.5743493521942418,0.0,0.8182581322996796,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:30,0.13041251342611293,0.02608533635570874,0.5752927087044434,0.0,0.8136666756147323,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:35,0.13052176922803305,0.03679239749205462,0.5782509546604923,0.0,0.8058447670791701,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:40,0.13063102502995316,0.05608429696410729,0.5921843055634904,0.0,0.8026368858158082,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:45,0.13074028083187325,0.08450693157400745,0.6022793161646257,0.0,0.8058705156916748,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:50,0.13084953663379334,0.12287087662043863,0.6084210238168752,0.0,0.8296070231732207,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:56:55,0.13095879243571346,0.17328494898068622,0.6312785012566039,0.0,0.8351044783496789,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:00,0.1310068649885583,0.23735905384883674,0.6742790073372883,0.0,0.8515726037550813,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:05,0.1310068649885583,0.31616563850736,0.7153564775421786,4.99762612760083e-05,0.8723717287964783,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:10,0.1310068649885583,0.3524110784725323,0.7361395380845023,0.0016265961518388615,0.8344898344963348,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:15,0.1310068649885583,0.3560745093826311,0.7508496797290616,0.003079283386558933,0.805484815836361,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:20,0.1310068649885583,0.35948983471550655,0.7656442682547603,0.004534080737996865,0.7893643656973812,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:25,0.1310068649885583,0.3626548456748528,0.7759531598606869,0.0059909928071036934,0.7834876352801344,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:30,0.1310068649885583,0.3624190078271171,0.7785197424610364,0.007450024208216803,0.7848073632899045,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:35,0.1310068649885583,0.3507513533088499,0.7787075628058602,0.008911179569107475,0.7935140337370467,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:40,0.1310068649885583,0.3276769810066219,0.7674197840484288,0.008911179569107475,0.8099303157421316,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:45,0.1310068649885583,0.2933623628585626,0.7490347052120747,0.008911179569107475,0.8206226354233058,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:50,0.1310068649885583,0.24869125369883396,0.7220251819029413,0.008911179569107475,0.8211085243778159,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:57:55,0.13139846899858337,0.19532081399032872,0.6885456071527868,0.008911179569107475,0.8013526387175477,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:00,0.13192766360672534,0.13636558279793315,0.670842774686482,0.008911179569107475,0.7759181576160634,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:05,0.1324568582148673,0.06985355513295868,0.6518881819450421,0.008860759493670966,0.7483536207939517,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:10,0.13260332562576596,0.04233554762066105,0.6386190689950427,0.007915577714604103,0.714000930206055,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:15,0.13212534339905707,0.04017525525823191,0.6375304676626398,0.00670165012328512,0.7016222511514677,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:20,0.1316473611723482,0.03801018984219675,0.6283729457848388,0.0052437059734022256,0.698681006320141,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:25,0.13116937894563932,0.03367906122357254,0.5829053637565456,0.004181137098632243,0.6785228105280489,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:30,0.1310068649885583,0.030499007211153704,0.5322316272271527,0.00328191332547432,0.6517164580551452,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:35,0.1310068649885583,0.028995424141313716,0.5093545351658786,0.002278837905677449,0.6281266099444346,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:40,0.1310068649885583,0.029993720414693652,0.4824481824178692,0.002624251495370946,0.6089574275626609,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-09 17:58:45,0.1310068649885583,0.033962807136959726,0.45662849101075803,0.00286506478494902,0.5992518327572874,0.2627521700629347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
