,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-10 12:04:50,0.8672150411280847,0.008658008658008667,0.43043844004157517,0.08450704225352121,0.784585751206905,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:04:55,0.8672150411280847,0.008658008658008667,0.43042480909769226,0.08450704225352121,0.784585751206905,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:05:00,0.8672150411280847,0.008658008658008667,0.4304108006967981,0.08450704225352121,0.784585751206905,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:05:05,0.8672150411280847,0.008658008658008667,0.43039726961257746,0.08803347280334735,0.8130395198188589,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:05:10,0.8672150411280847,0.008658008658008667,0.43055266358441047,0.09269400293842658,0.8407064141686021,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:05:15,0.8672150411280847,0.008658008658008667,0.4307788567920837,0.09578842093565955,0.8553680361759031,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:05:20,0.8672150411280847,0.008658008658008667,0.430930653300978,0.09799257920274006,0.8639581273063159,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:05:25,0.8672150411280847,0.008658008658008667,0.43107370760675484,0.09631728045325783,0.8696923509369511,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:05:30,0.8672150411280847,0.008658008658008667,0.43124611968297705,0.09506662795702152,0.8738321176552836,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:05:35,0.8672150411280847,0.008658008658008667,0.43143901377411115,0.09528937401721739,0.8770321402175375,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
