,ltp odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,enhanced markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-11 16:36:40,0.28327690385768745,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:36:45,0.2836448928565825,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:36:50,0.2840128818554776,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:36:55,0.2843808708543726,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:00,0.2847488598532681,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:05,0.28511684885216315,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:10,0.28548483785105866,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:15,0.2878455177899552,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:20,0.2905857579078999,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:25,0.29332599802584464,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:30,0.2938837671142637,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:35,0.2942517561131588,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:40,0.29461974511205385,0.0018891374699810943,-2.562297918305199,0.14857195123203967,-2.1492115247855637,0.5071618761747486,-0.05309573139237582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
