,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,r1_setscore,r2_setscore
2018-07-11 12:04:02,0.9069264069264069,0.018181818181818195,0.41809596134569027,0.3696682464454976,0.6530800639091071,3.0,3.0
2018-07-11 12:04:04,0.9069264069264069,0.018181818181818195,0.4181656613558108,0.35445105588612763,0.6540949153262398,3.0,3.0
2018-07-11 12:04:06,0.9069264069264069,0.018181818181818195,0.41823534467070583,0.3363346832854953,0.6542498189449978,3.0,3.0
2018-07-11 12:04:08,0.9069264069264069,0.018181818181818195,0.41830501129637315,0.3143804714810722,0.6961431702312979,3.0,3.0
2018-07-11 12:04:10,0.9069264069264069,0.021008403361344668,0.4253782892588336,0.32573599240265916,0.6883220688650747,3.0,3.0
2018-07-11 12:04:12,0.9069264069264069,0.02514472837845731,0.44164594974247234,0.33322172106123576,0.6800650772981983,3.0,3.0
2018-07-11 12:04:14,0.9069264069264069,0.02869210515216686,0.4376937319014468,0.3211522437805024,0.6708304203400088,3.0,3.0
2018-07-11 12:04:16,0.9069264069264069,0.02857649951060414,0.45320728208986005,0.31429474183435985,0.6635251608854407,3.0,3.0
2018-07-11 12:04:18,0.9069264069264069,0.02638813906823915,0.48191667507314856,0.31479768364874194,0.6575581624848014,3.0,3.0
2018-07-11 12:04:20,0.9069264069264069,0.024640847234323873,0.507644811418713,0.3204503879072266,0.6525771716473099,3.0,3.0
2018-07-11 12:04:22,0.9069264069264069,0.0232134845209446,0.5308400496548648,0.32504719855690367,0.6484634637835917,3.0,3.0
2018-07-11 12:04:24,0.9069264069264069,0.022025552069259786,0.551860932104692,0.32885869663408546,0.6448957004039592,3.0,3.0
2018-07-11 12:04:26,0.9069264069264069,0.021021467494941846,0.571001378409524,0.33207028746696826,0.6417591597229659,3.0,3.0
2018-07-11 12:04:28,0.9069264069264069,0.020161616929278363,0.5885000968271559,0.3348132709204465,0.6391735796637774,3.0,3.0
2018-07-11 12:04:30,0.9069264069264069,0.019417004713372408,0.6045560813917371,0.3371832359081943,0.636863890398017,3.0,3.0
2018-07-11 12:04:32,0.9069264069264069,0.018765919160176683,0.6193420907247194,0.3392514282690003,0.6347820359274969,3.0,3.0
2018-07-11 12:04:34,0.9069264069264069,0.018660759365181828,0.633004444038256,0.3410720360771435,0.6330624935808989,3.0,3.0
2018-07-11 12:04:36,0.9069264069264069,0.01905907121969422,0.6456677470334701,0.34268700632646604,0.6314916233087003,3.0,3.0
2018-07-11 12:04:38,0.9069264069264069,0.019850404468763377,0.6574387972984466,0.34202911371176264,0.6299323042274013,3.0,3.0
2018-07-11 12:04:40,0.9069264069264069,0.02044335693028339,0.6684097574107699,0.34141157384436704,0.6334338804321163,3.0,3.0
2018-07-11 12:04:42,0.9069264069264069,0.02086673504318559,0.6786604909344014,0.3394222475359738,0.63990255250316,3.0,3.0
2018-07-11 12:04:44,0.9069264069264069,0.021143990728817393,0.6882605751486193,0.33623913923590365,0.6486372430313154,3.0,3.0
2018-07-11 12:04:46,0.9069264069264069,0.02129441016790653,0.6972709054561209,0.3324659279284743,0.6580398248436811,3.0,3.0
2018-07-11 12:04:48,0.9069264069264069,0.021333999332226156,0.7057450085775886,0.3289920850629176,0.6661356598819467,3.0,3.0
2018-07-11 12:04:50,0.9069264069264069,0.02127615283793853,0.7137301243892895,0.3257833420243775,0.6732058882729649,3.0,3.0
2018-07-11 12:04:52,0.9069264069264069,0.0211749826141712,0.7184393684277339,0.3228104682537091,0.6794284492456943,3.0,3.0
