,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup
2018-07-11 16:36:42,0.582313627205268,0.0058309037900874695,0.07638615050605314,0.016806722689075647,0.002012288374339299
2018-07-11 16:36:44,0.5823501762716587,0.0058309037900874695,0.07638615050605314,0.016806722689075647,0.002012288374339299
2018-07-11 16:36:46,0.5823867253380492,0.0058309037900874695,0.07930999075043983,0.024288336131828767,0.0023964130134989797
2018-07-11 16:36:48,0.58242327440444,0.0058309037900874695,0.08101789777488046,0.029767575167767193,0.0030027282371717355
2018-07-11 16:36:50,0.5824598234708307,0.0058309037900874695,0.08221059714708738,0.032151267319150356,0.003396792777949545
2018-07-11 16:36:52,0.5824963725372212,0.0058309037900874695,0.0831381149094177,0.03297784979650625,0.003589728454702979
2018-07-11 16:36:54,0.5825329216036119,0.0058309037900874695,0.0839119545249671,0.03291247652974318,0.003626006471239742
2018-07-11 16:36:56,0.5825694706700026,0.0058309037900874695,0.08458937044242923,0.03228964831862737,0.003556874995167961
2018-07-11 16:36:58,0.5826060197363931,0.0058309037900874695,0.08520279193036068,0.03129595950782869,0.00342539237929614
2018-07-11 16:37:00,0.5826425688027839,0.005807173287002872,0.08577197039695009,0.030043707028979336,0.003262311629097139
2018-07-11 16:37:02,0.5826791178691745,0.00571584153595668,0.08630963005204789,0.02871407405446755,0.0030703465060380195
2018-07-11 16:37:04,0.5827156669355651,0.005573793253924953,0.08683198221510995,0.027409132257940942,0.002860050024852511
2018-07-11 16:37:06,0.5827522160019558,0.005392711142037123,0.08734528663817384,0.02612350009226878,0.0026506102504699402
2018-07-11 16:37:08,0.5827887650683464,0.00518093596952666,0.08785244839861664,0.025448300629597118,0.05111592349863075
2018-07-11 16:37:10,0.582825314134737,0.00494458179393875,0.08835562382461037,0.024856240263463763,0.06390977711759566
2018-07-11 16:37:12,0.5828618632011278,0.00468823253633385,0.09032340693783347,0.02461246598706112,0.0667930366998208
2018-07-11 16:37:14,0.5829219737228624,0.004415392464412497,0.09411178936024187,0.023905425646043473,0.07657235632735095
2018-07-11 16:37:16,0.5831941373426928,0.005200768798673557,0.09270392043634974,0.02302708430540698,0.086514883863532
2018-07-11 16:37:18,0.5834663009625232,0.005619698633328619,0.08788934553361416,0.022776970876535206,0.09099177772812196
2018-07-11 16:37:20,0.5837384645823536,0.005726569623180699,0.07986831954622722,0.022091909073335865,0.09486030459772106
2018-07-11 16:37:22,0.584010628202184,0.005733142453806742,0.0712851581625326,0.021438939729913717,0.09757802548363738
2018-07-11 16:37:24,0.5842827918220144,0.005739119828034696,0.06747077219078691,0.020876662837021377,0.09911483015920851
2018-07-11 16:37:26,0.5845549554418447,0.0057445791562315265,0.06774930303538498,0.02039310722436066,0.10060325836303795
2018-07-11 16:37:28,0.5848271190616752,0.005749584988091852,0.06694603984944529,0.019978322150571663,0.10205249208738325
2018-07-11 16:37:30,0.5849107910387537,0.0057541915769127525,0.0653186303487972,0.019623968315520216,0.10346990512200548
2018-07-11 16:37:32,0.5849473401051444,0.005758444853853367,0.06309613412296874,0.019323004354755736,0.10486149375576088
2018-07-11 16:37:34,0.584983889171535,0.005762383964709992,0.060993530786163555,0.019069443783694937,0.1062321901305183
2018-07-11 16:37:36,0.5850204382379256,0.005766042478283125,0.05933965419119288,0.018858164588588737,0.10758609393278762
2018-07-11 16:37:38,0.5850569873043163,0.00576944934539327,0.058062284328883836,0.018684758623752032,0.10892664622277133
2018-07-11 16:37:40,0.5850935363707069,0.005772629666584902,0.05706992883031516,0.018545411433226893,0.11025676159046108
2018-07-11 16:37:42,0.5851300854370975,0.005773755580184505,0.055801098001420114,0.018490900759300422,0.11516432631775146
2018-07-11 16:37:44,0.5851666345034883,0.0057748819330738,0.05468760994731068,0.018458842159163637,0.12013758708752481
2018-07-11 16:37:46,0.5852031835698789,0.005776008725509931,0.053575870493917634,0.017430659973179493,0.12395310413599472
2018-07-11 16:37:48,0.5852397326362695,0.005777135957750502,0.05258008059994866,0.016402867166320122,0.12576976663035244
2018-07-11 16:37:50,0.5852762817026602,0.0057782636300529235,0.051690102092576934,0.015480598220478217,0.12816939729873206
2018-07-11 16:37:52,0.5853128307690508,0.005779391742675074,0.05089694118596976,0.014663478605723198,0.1311511902485653
2018-07-11 16:37:54,0.5853493798354414,0.00578052029587451,0.050192591446267386,0.013951167336343233,0.13473131193220897
2018-07-11 16:37:56,0.5853859289018322,0.005781649289909764,0.049569901924226396,0.013343356681246468,0.13894236786391034
2018-07-11 16:37:58,0.5854224779682228,0.005782778725039192,0.0490224658721276,0.012844312682667959,0.14381566988544733
2018-07-11 16:38:00,0.5854590270346134,0.00579186046286943,0.04851414245030556,0.012536488674675862,0.14806474743506462
2018-07-11 16:38:02,0.5854955761010041,0.005827456377598835,0.04781832709312463,0.012296649663529769,0.1529405556990616
2018-07-11 16:38:04,0.5855321251673947,0.005889579221279833,0.04697882343527959,0.012251176793637426,0.15933535802719917
2018-07-11 16:38:06,0.5855686742337853,0.005978239638166679,0.0460618289450659,0.012412851956145513,0.16754217050609257
2018-07-11 16:38:08,0.5856052233001761,0.006093446161560643,0.045099712884798464,0.012506250427666694,0.16251512875880075
2018-07-11 16:38:10,0.5856417723665666,0.006235205211074699,0.04427689925351012,0.012733252955261695,0.16662289652107884
2018-07-11 16:38:12,0.5856783214329573,0.006403521090317609,0.04358404316470972,0.01273003385201176,0.17318438406375714
2018-07-11 16:38:14,0.585714870499348,0.0065983959849979365,0.042977721180328686,0.012910553066712991,0.17054396611804065
