,ltp odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-11 14:52:05,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:10,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:15,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:20,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:25,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:30,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:35,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:40,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:45,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:50,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:52:55,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:00,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:05,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:10,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:15,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:20,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:25,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:30,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:35,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:40,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:45,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:50,0.2994024754588135,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:53:55,0.2994157613926587,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:00,0.29963719362341307,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:05,0.29985862585416745,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:10,0.3000800580849218,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:15,0.3003014903156761,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:20,0.3005229225464305,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:25,0.3007443547771848,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:30,0.3009657870079392,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:35,0.3011872192386935,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:40,0.30140865146944784,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:45,0.3010526998265338,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:50,0.3004722100105265,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:54:55,0.29870281676980115,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:00,0.2975792659185197,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:05,0.2971410552869455,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:10,0.2969626800711115,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:15,0.2967339938969653,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:20,0.29650530772281913,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:25,0.296276621548673,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:30,0.29604793537452684,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:35,0.29581924920038066,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:40,0.29559056302623454,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:45,0.29536187685208837,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:50,0.2951331906779422,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:55:55,0.294904504503796,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:00,0.29467581832964984,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:05,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:10,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:15,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:20,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:25,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:30,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:35,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:40,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:45,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:50,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:56:55,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:00,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:05,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:10,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:15,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:20,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:25,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:30,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:35,0.29464380226526937,0.029948109892257112,0.31697940406742264,0.011251598703863362,0.3979280695990427,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:40,0.29464380226526937,0.030360134995431252,0.3222562105352782,0.010890848343113001,0.4009678546228103,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:45,0.29464380226526937,0.030628003653888118,0.322041234528474,0.010653300416302715,0.40268306564354034,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:50,0.29464380226526937,0.030766382230869763,0.32208542345415037,0.01050041248983101,0.40700102129893806,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:57:55,0.29464380226526937,0.030773452056503788,0.3244665465338338,0.010239881437113303,0.412755869971175,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:00,0.29464380226526937,0.03042956662496832,0.32248571093793305,0.010133196215306181,0.41459284960105525,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:05,0.29464380226526937,0.030210287056113515,0.32057971798387586,0.00987128903261812,0.41815915592393244,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:10,0.29464380226526937,0.030020585170413706,0.3187587633283676,0.009666672245380242,0.42213058099652545,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:15,0.2951208056514322,0.02987486496025542,0.3198265898461638,0.009563715322556753,0.4219305522908448,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:20,0.29652375678720533,0.029761940504327136,0.32208572513179473,0.009407996225048553,0.42039268470596547,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:25,0.2971410552869455,0.029475942230179197,0.3218971741448319,0.009199140753035186,0.4192302817173446,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:30,0.2971410552869455,0.02925994690275659,0.32522681950956944,0.008929332641429854,0.42498800792278,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:35,0.2971410552869455,0.029078178374071985,0.32654103535133633,0.008818350643851005,0.43047402285093006,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:40,0.2971410552869455,0.028635538422896043,0.3275922264607828,0.008645721826551368,0.4360449580147443,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:45,0.2971410552869455,0.028424647308222632,0.32733378059729684,0.008361959286119757,0.4400154591463693,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:50,0.2971410552869455,0.02841439459741301,0.32653153164452103,0.008206618383447894,0.4408877419402336,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:58:55,0.2971410552869455,0.02839181307369683,0.3261273356736247,0.008051277480776031,0.4406255830512219,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:00,0.2971410552869455,0.028597049931778615,0.33201428862237203,0.007919843284724847,0.4420252374234266,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:05,0.2971410552869455,0.02870192146005993,0.338359156715187,0.0077186561421275736,0.4419701145319046,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:10,0.2971410552869455,0.028700648991208947,0.3426517917908889,0.00783418275666165,0.44479412828206627,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:15,0.2971410552869455,0.028733005233517756,0.3463188108695843,0.007835317455321147,0.44563907655475604,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:20,0.2971410552869455,0.028725098616984312,0.3504702952219276,0.007748248442747377,0.447015882970176,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:25,0.2971410552869455,0.028770324463555628,0.3549986992370941,0.007754455911884616,0.44813278895415565,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:30,0.29720431179524953,0.02880039241173759,0.3557657587269946,0.007686253416019968,0.4536110781896083,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:35,0.2979950181490495,0.02879551192469752,0.3558744849795984,0.007687004497694938,0.4587117023196907,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:40,0.29878572450284946,0.028384946885076742,0.35603174345834293,0.007639697116081278,0.46390325090969375,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:45,0.2994024754588135,0.027834479488922446,0.3564407244373509,0.007435240753241007,0.4668895097328559,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:50,0.2994024754588135,0.027665885755606783,0.35726227827233464,0.007264892466810905,0.4656383202717812,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 14:59:55,0.2994024754588135,0.027439630075635584,0.3587235398461276,0.007100920091456307,0.46881973470230215,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:00,0.2994024754588135,0.02765503180472264,0.3619453341103487,0.007204442758351913,0.47325551841664437,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:05,0.2994024754588135,0.027912605311168476,0.3634809734687778,0.00725797494923877,0.4784547977328788,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:10,0.2994024754588135,0.027817289389621445,0.3646443885226825,0.007259109647898266,0.4808683209539972,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:15,0.2994024754588135,0.027959025107604923,0.37017190640706177,0.007256698153946414,0.4781259391618172,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:20,0.2994024754588135,0.027986703079132213,0.37434605285854594,0.007283728760651491,0.4722478573299171,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:25,0.2994024754588135,0.02798182259209214,0.3734075118821731,0.007313209490346773,0.4678802824347114,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:30,0.2994024754588135,0.02786875797566385,0.3748572925450378,0.007366345864851941,0.4642551157118664,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:35,0.2994024754588135,0.02779551188075014,0.3736803896148363,0.007397941375337944,0.4631459666630741,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:40,0.2994024754588135,0.02772148087103,0.3756635307276858,0.007385181194256072,0.46167739949109793,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:45,0.2994024754588135,0.027826819832292946,0.3767673787423858,0.007438317568761239,0.4625132707656192,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:50,0.2994024754588135,0.027897839436160764,0.37672913360948024,0.007405719581866253,0.46614243181094983,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:00:55,0.2994024754588135,0.027917438009655692,0.37686315942350046,0.007386626219069912,0.469719161638288,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:00,0.2989792370291137,0.028067693816301843,0.37458906675290693,0.007386626219069912,0.4735355732570767,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:05,0.2978935408626521,0.02810407763253092,0.3713529907938972,0.007402984531546397,0.477410036353635,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:10,0.29680784469619037,0.02832197842668988,0.3696729488410071,0.0074576296903810305,0.47913947355824876,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:15,0.29572214852972867,0.028371997540785402,0.36845804072413063,0.007405245710532658,0.4854030466981534,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:20,0.2948699685766665,0.028370371415455852,0.37125931930296713,0.0074152488483746615,0.49027992166361467,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:25,0.29464380226526937,0.028914480294415675,0.37282922458083945,0.007505939848879286,0.4913176045732941,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:30,0.29464380226526937,0.029541446875693236,0.37790071031110506,0.007614498033352209,0.49217496256397525,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:35,0.29464380226526937,0.029990606470914952,0.38252586542589273,0.007723056217825131,0.49327546409617323,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:40,0.29464380226526937,0.03014614159364946,0.3840704332276713,0.007857959584867718,0.4985742037676312,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:45,0.29464380226526937,0.030173626029661983,0.38689214843869946,0.00794361433962666,0.5015431752441588,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:50,0.29464380226526937,0.030137424414513003,0.38458690617025365,0.007843408967211177,0.5002980250086574,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:01:55,0.2948435825070035,0.030139099445867498,0.38546026749045703,0.007896171141895884,0.49888179538939104,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:00,0.2971410552869455,0.030140774477221986,0.38550009718418343,0.007896171141895886,0.49757136218561965,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:05,0.2975626461347141,0.03019138239175201,0.3852508347780838,0.007949684370120948,0.49588562199377584,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:10,0.3017785546124002,0.030193057423106497,0.38767244170452153,0.007896547995615781,0.494193779478912,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:15,0.30278421630451435,0.03016208277912876,0.38611701871225274,0.007895807418967624,0.4988119195265494,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:20,0.30360127308592677,0.030068551076065667,0.3913685303014856,0.007953125564813701,0.501782172608555,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:25,0.30467376638525034,0.030235402226232465,0.3965145239003247,0.007952384988165547,0.5063073245503272,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:30,0.3057462596845738,0.030433995875084396,0.4006557651456674,0.007899248613660379,0.511874753139297,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:35,0.3068187529838974,0.030739130288516305,0.4027120678869063,0.00788661364657912,0.5127956393861105,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:40,0.30789124628322095,0.031274574428620056,0.40340049687745894,0.008205431893610124,0.5161952288640358,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:45,0.3102338308178455,0.03148022900881173,0.40408709458504577,0.00820432871628476,0.5186403201302877,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:50,0.3124404599710455,0.03161857430592056,0.4069467422962752,0.008151192341779592,0.5257246419572084,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:02:55,0.31764170898264477,0.031334401936578424,0.4058531147221964,0.008098055967274424,0.5280118728447075,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:03:00,0.3181106302805499,0.030982425979334663,0.4047240661652122,0.008096595173473595,0.5276481688594754,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:03:05,0.3179657045903844,0.030792741412445628,0.4065258322509929,0.008094781645333485,0.5314524165162714,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:03:10,0.31476522334466345,0.030741867014244886,0.4061429211291114,0.008041645270828316,0.53009336802863,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:03:15,0.3115647420989424,0.030799292790907155,0.4070931907798946,0.007905921244301067,0.5299696200070955,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:03:20,0.3083642608532214,0.030878762188023476,0.4117507072494276,0.007775100033162858,0.5329163888364059,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:03:25,0.30558044627416703,0.03125310241198776,0.4095399900426768,0.007705347532707455,0.5312657531079759,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:03:30,0.3058521872506682,0.0317840949362205,0.4069681149745614,0.007812185562297633,0.5297517129389346,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 15:03:35,0.30612392822716944,0.032358456577831596,0.4053230946407957,0.007690839366267521,0.5285961285619577,0.46953516375468163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
