,ltp odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-11 16:36:40,0.5823319017384634,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:36:45,0.58242327440444,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:36:50,0.5825146470704166,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:36:55,0.5826060197363931,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:00,0.5826973924023698,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:05,0.5827887650683464,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:10,0.5828801377343231,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:15,0.5834663009625232,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:20,0.5841467100120992,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 16:37:25,0.5848271190616752,0.00895866531043025,0.25516555129939705,0.018626632028353823,0.24226698610435987,0.5071618761747486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
